Id	Name	CodeSage	Siren	RCSCity	AddressId	SocialCapital	AgencyId	RepresentingCivilityId	RepresentingName	RepresentingRole	Tag	IsDeleted	CreatedBy	CreatedDate	UpdatedBy	UpdatedDate
2125	SCI LE LUC CHAVAROCHE	PR024	878010057	Nice	14701	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2126	SCI LE MUY CHEMIN DU RAYOL	PR025	878008929	Nice	14702	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2127	SCI LE LUC PARADIS	PR027	878098946	Nice	14703	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2128	SCI L'ESCARENE LES PRATS	PR033	898907589	Nice	14704	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2129	SCI BAGNOLS EN FORET LAVOIR	PR034	899571061	Nice	14705	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2130	SCI LE CANNET JEAN MOULIN	PR036	913034559	Nice	14706	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2131	SCI LA TRINITE LES SOURCES	PR038	903198570	Nice	14707	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2132	SCI CARROS REPUBLIQUE	PR041	951413145	Nice	14708	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2133	SCI CAGNES SUR MER VALLON DES VAUX	PR012	840464739	Nanterre	14757	1600	21	NULL				false	KROU1	2024-03-19 15:18:18.1700000		NULL
2134	SCCV IE071 LES SORINIERES	IE071	947639357	NANTERRE	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant		false	KROU	2024-03-19 15:56:00.0400000		NULL
2135	SCI IE088 AMIENS	IE088	913682290	Nanterre	15836	1600	20	NULL	SPIRIT ENTREPRISES	Gérant		false	KROU1	2024-04-18 07:44:01.2900000		NULL
2136	SCI IE082 MONTEREAU	IE082	947658886	Nanterre	15845	1600	20	NULL	SPIRIT ENTREPRISES	Gérant		false	KROU1	2024-04-18 09:03:42.5200000		NULL
